unified_id;month;zipcode;city;host_type;bedrooms;bathrooms;guests;revenue;openness;occupancy;nightly rate;lead time;length stay;Street Name;Latitude;Longitude;Hot Tub;Pool
AIR40116349;2019-12;92314;Big Bear City;Professionals;4;3;9;2450;7;0.428571429;816.6666667;4.666666667;1;NULL_STREET;34.24003;-116.86419;1;0
AIR40134242;2019-12;92315;Big Bear Lake;Professionals;3;2;5;359;2;0.5;359;5;1;NULL_STREET;34.24601;-116.92524;0;0
AIR40134245;2019-12;92315;Big Bear Lake;Professionals;4;3;12;5398;10;0.4;1349.5;4;2;NULL_STREET;34.2445;-116.9197;1;0
AIR40134656;2019-12;92315;Big Bear Lake;Professionals;3;2;6;0;3;0;;;;NULL_STREET;34.24443;-116.89826;0;0
AIR40156399;2019-12;92315;Big Bear Lake;Professionals;3;1.5;6;449;1;1;449;1;1;NULL_STREET;34.23835;-116.85336;0;0
AIR40178661;2019-12;92315;Big Bear Lake;Professionals;3;2;8;1298;5;0.4;649;2;2;NULL_STREET;34.24453;-116.86912;1;0
AIR40182513;2019-12;92315;Big Bear Lake;Professionals;5;3;8;0;2;0;;;;NULL_STREET;34.24663;-116.94816;0;0
AIR40184908;2019-12;92315;Big Bear Lake;Professionals;4;2.5;12;0;2;0;;;;NULL_STREET;34.23236;-116.85987;1;0
AIR40186386;2019-12;92314;Big Bear City;Professionals;4;4;11;2200;10;0.3;733.3333333;4;2;NULL_STREET;34.24202;-116.87049;1;0
AIR40202409;2019-12;92314;Big Bear City;Professionals;3;2;8;0;9;0;;;;NULL_STREET;34.24403;-116.79922;1;0
AIR40203532;2019-12;92314;Big Bear City;Single Owners;3;2.5;12;0;1;0;;;;NULL_STREET;34.24096;-116.81653;1;0
AIR40205778;2019-12;92315;Big Bear Lake;Professionals;3;2;7;0;5;0;;;;NULL_STREET;34.23974;-116.90478;0;0
AIR40206706;2019-12;92315;Big Bear Lake;Professionals;3;2;8;0;7;0;;;;NULL_STREET;34.23838;-116.87046;1;0
AIR40209179;2019-12;92315;Big Bear Lake;Professionals;4;3;15+;4797;7;0.428571429;1599;10;3;NULL_STREET;34.24358;-116.92114;1;0
AIR40210284;2019-12;92315;Big Bear Lake;Professionals;3;2;10;3105;13;0.461538462;517.5;2.5;1.5;NULL_STREET;34.24299;-116.89533;1;0
AIR40228320;2019-12;92252;Joshua Tree;Professionals;4;2;8;0;2;0;;;;NULL_STREET;34.16595;-116.3159;1;0
AIR40235971;2019-12;92315;Big Bear Lake;Single Owners;4;3.5;12;0;5;0;;;;NULL_STREET;34.24391;-116.92824;0;0
AIR40236432;2019-12;92315;Big Bear Lake;2-5 Units;4;2.5;10;675;7;0.142857143;675;1;1;NULL_STREET;34.23951;-116.87568;0;0
AIR40240095;2019-12;92314;Big Bear City;Single Owners;3;2.5;10;799;3;0.333333333;799;3;1;NULL_STREET;34.26763;-116.85796;0;0
AIR40241531;2019-12;92314;Big Bear City;Single Owners;4;2;9;250;2;0.5;250;1;1;NULL_STREET;34.23997;-116.85675;1;0
AIR40259932;2019-12;92315;Big Bear Lake;Single Owners;4;2;9;0;1;0;;;;NULL_STREET;34.23275;-116.84957;0;0
AIR4026018;2019-1;92252;Joshua Tree;2-5 Units;3;2;6;0;31;0;;;;Granada Drive;34.12652;-116.32126;1;0
AIR40260366;2019-12;92314;Big Bear City;2-5 Units;5;4;15+;0;5;0;;;;NULL_STREET;34.25532;-116.86589;0;0
